country,agland_80
Afghanistan,38049
Albania,1118
Algeria,43830
American Samoa,3
Andorra,23
Angola,57400
Antigua and Barbuda,7
Argentina,128020
Aruba,2
Australia,495638
Austria,3141
Bahamas,11
Bahrain,10
Bangladesh,9987
Barbados,19
Belgium-Luxembourg,1471
Belize,96
Benin,2027
Bermuda,0.3
Bhutan,413
Bolivia (Plurinational State of),33562
Botswana,26004
Brazil,232517.208
British Virgin Islands,8
Brunei Darussalam,14
Bulgaria,6181
Burkina Faso,8785
Burundi,2088
Cabo Verde,65
Cambodia,2650
Cameroon,8930
Canada,61660
Cayman Islands,2.7
Central African Republic,4945
Chad,48150
Channel Islands,8.7
Chile,16850
China,428519
"China, Hong Kong SAR",8
"China, mainland",427604
"China, Taiwan Province of",907
Colombia,45292
Comoros,100
Congo,10525
Cook Islands,6
Costa Rica,2516
Côte d'Ivoire,17255
Cuba,5937
Cyprus,171.5
Czechoslovakia,6851
Democratic People's Republic of Korea,2515
Democratic Republic of the Congo,25700
Denmark,2905
Djibouti,1301
Dominica,19
Dominican Republic,2620
Ecuador,6478
Egypt,2445
El Salvador,1410
Equatorial Guinea,334
Eswatini,1291
Ethiopia PDR,59115
Falkland Islands (Malvinas),1200
Faroe Islands,3
Fiji,290
Finland,2536
France,31722
French Guyana,8
French Polynesia,44
Gabon,5152
Gambia,563
Germany,18519
Ghana,12000
Greece,9180
Greenland,235
Grenada,16
Guadeloupe,60
Guam,18
Guatemala,3050
Guinea,14221
Guinea-Bissau,1383
Guyana,1715
Haiti,1600
Honduras,3257
Hungary,6627
Iceland,1900
India,180272
Indonesia,38000
Iran (Islamic Republic of),57713
Iraq,9439
Ireland,5727
Isle of Man,35.4
Israel,533
Italy,17562
Jamaica,497
Japan,6061
Jordan,1127
Kenya,25580
Kiribati,38
Kuwait,135
Lao People's Democratic Republic,1606
Lebanon,601
Lesotho,2296
Liberia,2576
Libya,15080
Liechtenstein,9
Madagascar,36040
Malawi,3830
Malaysia,4886.14
Maldives,7
Mali,32080
Malta,13
Martinique,39
Mauritania,39464
Mauritius,114
Mayotte,17.02
Mexico,98180
Mongolia,124587
Montserrat,2
Morocco,28930
Mozambique,47100
Myanmar,10385
Namibia,38657
Nauru,0.4
Nepal,4085
Netherlands,2020
Netherlands Antilles (former),8
New Caledonia,265
New Zealand,16807
Nicaragua,3745
Niger,30720
Nigeria,50438
Niue,4.8
Norfolk Island,1
Norway,936
Oman,1051
Pacific Islands Trust Territory,45.3
Pakistan,37416
Palestine,494
Panama,1855
Papua New Guinea,772
Paraguay,13035
Peru,18679
Philippines,10625
Poland,19007
Portugal,3979
Puerto Rico,475
Qatar,55
Republic of Korea,2247
Réunion,61
Romania,14964
Rwanda,1715
"Saint Helena, Ascension and Tristan da Cunha",10
Saint Kitts and Nevis,15
Saint Lucia,20.5
Saint Pierre and Miquelon,3
Saint Vincent and the Grenadines,12
Samoa,74
San Marino,1
Sao Tome and Principe,37
Saudi Arabia,86962
Senegal,8841
Seychelles,5
Sierra Leone,2724
Singapore,8
Solomon Islands,59
Somalia,44000
South Africa,94160
Spain,31238
Sri Lanka,2349
Sudan (former),110450
Suriname,69
Sweden,3704
Switzerland,1653.9
Syrian Arab Republic,14062
Thailand,18938
Timor-Leste,279
Togo,3035
Tokelau,0.4
Tonga,34
Trinidad and Tobago,101
Tunisia,8700
Turkey,38579
Turks and Caicos Islands,1
Tuvalu,2
Uganda,10680
United Arab Emirates,223
United Kingdom of Great Britain and Northern Ireland,18469
United Republic of Tanzania,30000
United States of America,428163
United States Virgin Islands,16
Uruguay,15081
USSR,553317
Vanuatu,128
Venezuela (Bolivarian Republic of),21020
Viet Nam,6858
Wallis and Futuna Islands,5
Western Sahara,5002
Yemen,23463
Yugoslav SFR,14285
Zambia,19846
Zimbabwe,12275
