country,arable_18
Afghanistan,7703
Albania,611.346
Algeria,7505.017
American Samoa,3
Andorra,0.83
Angola,4900
Antigua and Barbuda,4
Argentina,39200
Armenia,445.6
Aruba,2
Australia,30974
Austria,1327.15
Azerbaijan,2097.9
Bahamas,8
Bahrain,1.6
Bangladesh,7772.3
Barbados,7
Belarus,5712
Belgium,850
Belize,90
Benin,2800
Bermuda,0.3
Bhutan,94
Bolivia (Plurinational State of),4480
Bosnia and Herzegovina,1029
Botswana,259.6
Brazil,55762
British Virgin Islands,1
Brunei Darussalam,5
Bulgaria,3478
Burkina Faso,6000
Burundi,1200
Cabo Verde,50
Cambodia,3911
Cameroon,6200
Canada,38687
Cayman Islands,0.2
Central African Republic,1800
Chad,5200
Channel Islands,3.82
Chile,1213
China,119488.7
"China, Hong Kong SAR",3
"China, mainland",118900
"China, Taiwan Province of",585.7
Colombia,6021
Comoros,66
Congo,550
Cook Islands,1
Costa Rica,252.5
Côte d'Ivoire,3500
Croatia,804
Cuba,2908.6
Cyprus,104.005
Czechia,2484
Democratic People's Republic of Korea,2350
Democratic Republic of the Congo,11800
Denmark,2392
Djibouti,2
Dominica,6
Dominican Republic,877
Ecuador,968
Egypt,2910.9688
El Salvador,627
Equatorial Guinea,120
Eritrea,690
Estonia,688
Eswatini,175
Ethiopia,16187
Faroe Islands,3
Fiji,165
Finland,2244
France,18126.4
French Guyana,13.28
French Polynesia,2.5
Gabon,325
Gambia,440
Georgia,311
Germany,11731
Ghana,4700
Greece,2136.6
Grenada,3
Guadeloupe,22.88
Guam,1
Guatemala,862
Guinea,3100
Guinea-Bissau,300
Guyana,420
Haiti,1070
Honduras,1020
Hungary,4324
Iceland,121
India,156416
Indonesia,26300
Iran (Islamic Republic of),14687
Iraq,5000
Ireland,451
Isle of Man,23.1
Israel,383.5
Italy,6723
Jamaica,120
Japan,4142
Jordan,201
Kazakhstan,29748.4
Kenya,5800
Kiribati,2
Kuwait,8
Kyrgyzstan,1288
Lao People's Democratic Republic,1550
Latvia,1295
Lebanon,132
Lesotho,429.3
Liberia,500
Libya,1720
Liechtenstein,2.16
Lithuania,2115
Luxembourg,62.114
Madagascar,3000
Malawi,3600
Malaysia,826
Maldives,3.9
Mali,6411
Malta,9.07
Marshall Islands,2
Martinique,10.86
Mauritania,400
Mauritius,75
Mayotte,17.25
Mexico,23905
Micronesia (Federated States of),2
Mongolia,1327.4
Montenegro,9.2
Montserrat,2
Morocco,7477.6
Mozambique,5650
Myanmar,11080.3
Namibia,800
Nepal,2113.7
Netherlands,1021
New Caledonia,5.97
New Zealand,491
Nicaragua,1504
Niger,17700
Nigeria,34000
Niue,1
North Macedonia,418
Northern Mariana Islands,1
Norway,803.21
Oman,76.66
Pakistan,30507
Palau,0.3
Palestine,87
Panama,565
Papua New Guinea,300
Paraguay,4734
Peru,3429.7
Philippines,5590
Poland,11009
Portugal,919.18
Puerto Rico,50.2
Qatar,14
Republic of Korea,1374
Republic of Moldova,1681.7
Réunion,34.33
Romania,8686
Russian Federation,121649
Rwanda,1151.7
"Saint Helena, Ascension and Tristan da Cunha",4
Saint Kitts and Nevis,5
Saint Lucia,3
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,2
Samoa,32.5
San Marino,1.985
Sao Tome and Principe,4
Saudi Arabia,3437
Senegal,3200
Serbia,2583
Seychelles,0.15
Sierra Leone,1584
Singapore,0.56
Slovakia,1348
Slovenia,181.78
Solomon Islands,20
Somalia,1100
South Africa,12000
Spain,11884.2519
Sri Lanka,1371.6
Sudan,19823.16
Suriname,62
Sweden,2550
Switzerland,398.1389
Syrian Arab Republic,4662
Tajikistan,701.8
Thailand,16810
Timor-Leste,155
Togo,2650
Tonga,20
Trinidad and Tobago,25
Tunisia,2607
Turkey,19723
Turkmenistan,1940
Turks and Caicos Islands,1
Uganda,6900
Ukraine,32888
United Arab Emirates,42.3
United Kingdom of Great Britain and Northern Ireland,6037.7874
United Republic of Tanzania,13500
United States of America,157736.8
United States Virgin Islands,1
Uruguay,1976.9
Uzbekistan,4064.5
Vanuatu,20
Venezuela (Bolivarian Republic of),2600
Viet Nam,6988.3
Wallis and Futuna Islands,1
Western Sahara,4
Yemen,1097.7
Zambia,3800
Zimbabwe,4000
