country,countrySize_80
Afghanistan,65286
Albania,2875
Algeria,238174
American Samoa,20
Andorra,47
Angola,124670
Anguilla,9
Antigua and Barbuda,44
Argentina,278040
Aruba,18
Australia,774122
Austria,8387.9
Bahamas,1388
Bahrain,69
Bangladesh,14846
Barbados,43
Belgium-Luxembourg,3312
Belize,2297
Benin,11476
Bermuda,5.4
Bhutan,4700
Bolivia (Plurinational State of),109858
Botswana,58173
Brazil,851577
British Virgin Islands,15
Brunei Darussalam,577
Bulgaria,11099
Burkina Faso,27422
Burundi,2783
Cabo Verde,403
Cambodia,18104
Cameroon,47544
Canada,987975
Cayman Islands,26.4
Central African Republic,62298
Chad,128400
Channel Islands,19.8
Chile,75609.6
China,960000
"China, Hong Kong SAR",107
"China, Macao SAR",2
"China, mainland",956295
"China, Taiwan Province of",3596
Colombia,114175
Comoros,186.1
Congo,34200
Cook Islands,24
Costa Rica,5110
Côte d'Ivoire,32246
Cuba,10989
Cyprus,925
Czechoslovakia,12790
Democratic People's Republic of Korea,12054
Democratic Republic of the Congo,234486
Denmark,4309
Djibouti,2320
Dominica,75
Dominican Republic,4867
Ecuador,28356
Egypt,100145
El Salvador,2104
Equatorial Guinea,2805
Eswatini,1736
Ethiopia PDR,122190
Falkland Islands (Malvinas),1217
Faroe Islands,139.6
Fiji,1827
Finland,33815
France,54908.6
French Guyana,8354
French Polynesia,400
Gabon,26767
Gambia,1130
Germany,35697
Ghana,23854
Gibraltar,1
Greece,13196
Greenland,34170
Grenada,34
Guadeloupe,170
Guam,54
Guatemala,10889
Guinea,24586
Guinea-Bissau,3613
Guyana,21497
Haiti,2775
Holy See,0.044
Honduras,11249
Hungary,9303
Iceland,10300
India,328726
Indonesia,191093
Iran (Islamic Republic of),174515
Iraq,43832
Ireland,7028
Isle of Man,57
Israel,2207
Italy,30134
Jamaica,1099
Japan,37780
Jordan,8878
Kenya,58037
Kiribati,81
Kuwait,1782
Lao People's Democratic Republic,23680
Lebanon,1045
Lesotho,3036
Liberia,11137
Libya,175954
Liechtenstein,16
Madagascar,58704
Malawi,11848
Malaysia,33080
Maldives,30
Mali,124019
Malta,32
Martinique,113
Mauritania,103070
Mauritius,204
Mayotte,37.4
Mexico,196438
Monaco,0.2027
Mongolia,156412
Montserrat,10
Morocco,44655
Mozambique,79938
Myanmar,67659
Namibia,82429
Nauru,2
Nepal,14718
Netherlands,4153
Netherlands Antilles (former),80
New Caledonia,1858
New Zealand,26771
Nicaragua,13037
Niger,126700
Nigeria,92377
Niue,26
Norfolk Island,4
Norway,38517.8
Oman,30950
Pacific Islands Trust Territory,180
Pakistan,79610
Palestine,602
Panama,7542
Papua New Guinea,46284
Paraguay,40675
Peru,128522
Philippines,30000
Pitcairn,4.7
Poland,31269
Portugal,9212
Puerto Rico,887
Qatar,1161
Republic of Korea,9926
Réunion,251
Romania,23839
Rwanda,2634
"Saint Helena, Ascension and Tristan da Cunha",39
Saint Kitts and Nevis,26
Saint Lucia,62
Saint Pierre and Miquelon,24
Saint Vincent and the Grenadines,39
Samoa,284
San Marino,6
Sao Tome and Principe,96
Saudi Arabia,214969
Senegal,19671
Seychelles,46
Sierra Leone,7230
Singapore,68
Solomon Islands,2890
Somalia,63766
South Africa,121909
Spain,50599
Sri Lanka,6561
Sudan (former),250581
Suriname,16382
Sweden,45030
Switzerland,4129
Syrian Arab Republic,18518
Thailand,51312
Timor-Leste,1487
Togo,5679
Tokelau,1
Tonga,75
Trinidad and Tobago,513
Tunisia,16361
Turkey,78535
Turks and Caicos Islands,95
Tuvalu,3
Uganda,24155
United Arab Emirates,9864.79
United Kingdom of Great Britain and Northern Ireland,24361
United Republic of Tanzania,94730
United States of America,962909
United States Virgin Islands,35
Uruguay,17622
USSR,2241237
Vanuatu,1219
Venezuela (Bolivarian Republic of),91205
Viet Nam,33169
Wallis and Futuna Islands,14
Western Sahara,26600
Yemen,52797
Yugoslav SFR,25590
Zambia,75261
Zimbabwe,39076
