Country,Country_Code,1990,2000,2010,2019
Aruba,ABW,23070,31620,30710,
Afghanistan,AFG,,,1710,2330
Angola,AGO,2980,2780,5950,6390
Albania,ALB,2550,3980,9540,14350
Andorra,AND,,,,
Arab World,ARB,6996.269798,10066.48945,14918.24202,15144.03932
United Arab Emirates,ARE,,103160,64860,70240
Argentina,ARG,6880,11310,17440,22060
Armenia,ARM,2670,2740,7880,14460
American Samoa,ASM,,,,
Antigua and Barbuda,ATG,10480,16010,20110,21500
Australia,AUS,16720,25560,37770,51560
Austria,AUT,19530,29130,42390,59060
Azerbaijan,AZE,,3220,13950,14360
Burundi,BDI,610,540,660,780
Belgium,BEL,18710,28510,40480,54730
Benin,BEN,1230,1750,2350,3390
Burkina Faso,BFA,590,,,2220
Bangladesh,BGD,870,1370,2640,5190
Bulgaria,BGR,6940,6270,14560,23880
Bahrain,BHR,28280,41140,42550,44140
"Bahamas, The",BHS,20810,27550,30460,35760
Bosnia and Herzegovina,BIH,,5040,9510,15770
Belarus,BLR,5230,5780,15050,19340
Belize,BLZ,3270,5210,6800,6630
Bermuda,BMU,29770,,77120,
Bolivia,BOL,2250,3350,4940,8910
Brazil,BRA,6520,8800,13860,14850
Barbados,BRB,9360,12310,15730,15730
Brunei Darussalam,BRN,55910,66440,79690,66410
Bhutan,BTN,1410,2690,6310,
Botswana,BWA,5520,8250,12680,17110
Central African Republic,CAF,630,660,960,1060
Canada,CAN,19500,28590,39320,50810
Central Europe and the Baltics,CEB,,9854.568231,20063.38884,33022.97646
Switzerland,CHE,28170,38140,56230,72390
Channel Islands,CHI,,,,
Chile,CHL,4270,9220,16880,24140
China,CHN,980,2890,9210,16740
Cote d'Ivoire,CIV,1750,2080,2430,5290
Cameroon,CMR,1780,1830,2650,3730
"Congo, Dem. Rep.",COD,,440,610,1110
"Congo, Rep.",COG,2680,2430,3670,3060
Colombia,COL,4810,6550,10340,15150
Comoros,COM,1580,1800,2250,3220
Cabo Verde,CPV,1070,2960,5440,7310
Costa Rica,CRI,4830,7480,12310,19250
Caribbean small states,CSS,5608.275576,8829.736194,13913.48456,15452.00013
Cuba,CUB,,,,
Curacao,CUW,,,26790,
Cayman Islands,CYM,,,59910,
Cyprus,CYP,13240,19470,32970,39830
Czech Republic,CZE,,15900,25640,40660
Germany,DEU,19640,27060,39760,57690
Djibouti,DJI,,,,5980
Dominica,DMA,4190,5750,9830,12460
Denmark,DNK,17590,28020,43740,61410
Dominican Republic,DOM,3540,6480,11000,18280
Algeria,DZA,6660,8030,13060,11530
East Asia & Pacific (excluding high income),EAP,1419.583737,3233.872514,8643.289147,14927.23067
Early-demographic dividend,EAR,2860.029908,4067.555153,6881.324953,9676.449184
East Asia & Pacific,EAS,3195.07732,5695.000973,11724.26038,18422.13357
Europe & Central Asia (excluding high income),ECA,6960.564922,6052.311669,14846.56602,21990.76235
Europe & Central Asia,ECS,11703.49714,15856.72259,25960.38945,36557.01009
Ecuador,ECU,4450,5450,8950,11500
"Egypt, Arab Rep.",EGY,3620,5820,9330,11810
Euro area,EMU,16984.36289,25299.83351,35916.67276,49478.44939
Eritrea,ERI,,1530,1470,
Spain,ESP,13510,21440,31240,42300
Estonia,EST,,9070,20650,38010
Ethiopia,ETH,410,480,1020,2300
European Union,EUU,14676.8328,22014.44903,32844.88178,46472.50088
Fragile and conflict affected situations,FCS,1866.60324,2635.806664,4277.127631,4860.345829
Finland,FIN,17820,26630,39490,51210
Fiji,FJI,4050,5950,7670,13260
France,FRA,17680,26510,36760,50390
Faroe Islands,FRO,,,,
"Micronesia, Fed. Sts.",FSM,,2550,3380,
Gabon,GAB,11190,11850,12890,14420
United Kingdom,GBR,17140,26510,36390,48040
Georgia,GEO,,3140,7430,15020
Ghana,GHA,1220,1740,2920,5510
Gibraltar,GIB,,,,
Guinea,GIN,850,1200,1640,2520
"Gambia, The",GMB,1470,1810,2390,2260
Guinea-Bissau,GNB,990,1040,1330,2220
Equatorial Guinea,GNQ,690,5890,19350,14600
Greece,GRC,13580,19660,27590,31350
Grenada,GRD,4530,7150,10300,16250
Greenland,GRL,,,,
Guatemala,GTM,3280,4780,6550,8850
Guam,GUM,,,,
Guyana,GUY,1770,4030,6480,9900
High income,HIC,17956.80594,27589.21814,39183.70468,52321.80384
"Hong Kong SAR, China",HKG,17760,28480,50230,65600
Honduras,HND,1940,2510,3570,5510
Heavily indebted poor countries (HIPC),HPC,924.5695193,1154.85473,1791.274912,2590.791165
Croatia,HRV,,10410,19100,29520
Haiti,HTI,1370,1410,1530,1790
Hungary,HUN,,11170,20610,32750
IBRD only,IBD,2844.391798,4343.516056,9119.249716,13795.50188
IDA & IBRD total,IBT,2535.805169,3756.550113,7621.490247,11252.54127
IDA total,IDA,1279.308224,1617.285073,2811.724949,3988.720556
