country,gender_inequality_index_2018,gender_inequality_rank_2018,maternal_mortality_ratio_deaths_per_100k_births_2015,adolescent_birth_rate_births_per_1k_women_ages15_19_2015_2020,share_of_seats_in_parliament_percent_by_women_2018,females_secondary_education_2010_2018,males_secondary_education_2010_2018,females_2018_labor force,males_2018_labor force
Norway,0.04,5,5,5.1,41.4,96.1,94.8,60.2,66.7
Switzerland,0.04,1,5,2.8,29.3,96.4,97.2,62.6,74.1
Ireland,0.09,22,8,7.5,24.3,90.2,86.3,55.1,68.1
Germany,0.08,19,6,8.1,31.5,96,96.6,55.3,66.2
Hong Kong,,,,2.7,,76.6,82.9,54.1,67.8
Australia,0.1,25,6,11.7,32.7,90,90.7,59.7,70.5
Iceland,0.06,9,3,6.3,38.1,100,100,72.1,80.6
Sweden,0.04,2,4,5.1,46.1,88.8,89,61.1,67.6
Singapore,0.07,11,10,3.5,23,76.3,83.3,60.5,76.3
Netherlands,0.04,4,7,3.8,,86.6,90.1,58,68.9
Denmark,0.04,2,6,4.1,37.4,89.2,89.4,58.1,65.9
Finland,0.05,7,3,5.8,42,100,100,55,62.2
Canada,0.08,18,7,8.4,31.7,100,100,60.9,69.7
New Zealand,0.13,34,11,19.3,38.3,97.2,96.6,64.6,75.7
United Kingdom,0.12,27,9,13.4,28.9,82.9,85.7,57.1,67.8
United States,0.18,42,14,19.9,23.6,95.7,95.5,56.1,68.2
Belgium,0.05,6,7,4.7,41.4,82.6,87.1,47.9,58.9
Liechtenstein,,,,,12,,,,
Japan,0.1,23,5,3.8,13.7,95.2,92.2,51.4,70.7
Austria,0.07,14,4,7.3,34.8,100,100,54.8,65.9
Luxembourg,0.08,16,10,4.7,20,100,100,53.5,62.7
Israel,0.1,24,5,9.6,27.5,87.8,90.5,59.2,69.1
South Korea,0.06,10,11,1.4,17,89.8,95.6,52.8,73.3
Slovenia,0.07,12,9,3.8,20,97,98.3,53.4,62.7
Spain,0.07,15,5,7.7,38.6,73.3,78.4,51.7,63.4
Czechia,0.14,35,4,12,20.3,99.8,99.8,52.4,68.4
France,0.05,8,8,4.7,35.7,81,86.3,50.3,60
Malta,0.2,44,9,12.9,11.9,74.3,82.2,43.3,66.2
Italy,0.07,12,4,5.2,35.6,75.6,83,40,58.4
Estonia,0.09,21,9,7.7,26.7,100,100,57,70.9
Cyprus,0.09,20,7,4.6,17.9,78.2,82.6,57.3,67.2
Greece,0.12,31,3,7.2,18.7,61.5,73.2,45.3,60.7
Poland,0.12,30,3,10.5,25.5,82.9,88.1,48.9,65.5
Lithuania,0.12,33,10,10.9,21.3,92.9,97.5,56.4,66.7
United Arab Emirates,0.11,26,6,6.5,22.5,78.8,65.7,51.2,93.4
Andorra,,,,,32.1,71.5,73.3,,
Saudi Arabia,0.22,49,12,7.3,19.9,67.8,75.5,23.4,79.2
Slovakia,0.19,43,6,25.7,20,99.1,100,52.7,67.4
Latvia,0.17,40,18,16.2,31,100,99.1,55.4,68
Portugal,0.08,17,10,8.4,34.8,53.6,54.8,53.9,64.2
Qatar,0.2,45,13,9.9,9.8,73.5,66.1,57.8,94.7
Chile,0.29,62,22,41.1,22.7,79,80.9,51,74.2
Brunei Darussalam,0.23,51,23,10.3,9.1,69.5,70.6,58.2,71.7
Hungary,0.26,56,17,24,12.6,96.3,98.2,48.3,65
Bahrain,0.21,47,15,13.4,18.8,64.2,57.5,44.5,87.3
Croatia,0.12,31,8,8.7,18.5,94.5,96.9,45.7,58.2
Oman,0.3,65,17,13.1,8.8,73.4,63.7,31,88.7
Argentina,0.35,77,52,62.8,39.5,66.5,63.3,49,72.8
Russian Federation,0.26,54,25,20.7,16.1,96.3,95.7,54.9,70.5
Belarus,0.12,27,4,14.5,33.1,87.2,92.5,58.1,70.3
Kazakhstan,0.2,46,12,29.8,22.1,98.3,98.9,65.2,77.1
Bulgaria,0.22,48,11,39.9,23.8,94.2,96.2,49.5,61.6
Montenegro,0.12,27,7,9.3,23.5,88,97.5,43.6,58.1
Romania,0.32,69,31,36.2,18.7,87.2,93.1,45.6,64.2
Palau,,,,,13.8,96.9,97.3,,
Barbados,0.26,55,27,33.6,27.5,94.6,91.9,61.9,69.6
Kuwait,0.25,53,4,8.2,3.1,56.8,49.3,57.5,85.3
Uruguay,0.28,59,15,58.7,22.3,57.8,54,55.8,73.8
Turkey,0.31,66,16,26.6,17.4,44.3,66,33.5,72.6
Bahamas,0.35,76,80,30,21.8,88,91,67.6,82
Malaysia,0.27,58,40,13.4,15.8,79.8,81.8,50.9,77.4
Seychelles,,,,62.1,21.2,,,,
Serbia,0.16,37,17,14.7,34.4,85.7,93.6,46.8,62.1
Trinidad and Tobago,0.32,72,63,30.1,30.1,74.4,71.2,50.4,71.3
Iran,0.49,118,25,40.6,5.9,67.4,72,16.8,71.2
Mauritius,0.37,82,53,25.7,11.6,65.7,68.1,45,71.8
Panama,0.46,108,94,81.8,18.3,74.8,68.4,52.5,80.5
Costa Rica,0.29,61,25,53.5,45.6,53.8,52.3,45.7,74.6
Albania,0.23,51,29,19.6,27.9,93.5,92.8,47.2,64.9
Georgia,0.35,75,36,46.4,16,97.4,98.6,57.8,78.7
Sri Lanka,0.38,86,30,20.9,5.8,82.6,83.1,34.9,72.2
Cuba,0.31,67,39,51.6,53.2,86.7,88.9,40,67.4
Saint Kitts and Nevis,,,,,13.3,,,,
Antigua and Barbuda,,,,42.8,31.4,,,,
Bosnia and Herzegovina,0.16,38,11,9.6,19.3,73.1,90,35.6,58.6
Mexico,0.33,74,38,60.4,48.4,58.4,61.1,43.8,78.9
Thailand,0.38,84,20,44.9,5.3,43.1,48.2,59.5,76.2
Grenada,,,27,29.2,39.3,,,,
Brazil,0.39,89,44,59.1,15,61,57.7,54,74.4
Colombia,0.41,94,64,66.7,19,53.1,50.9,58.6,82
Armenia,0.26,57,25,21.5,18.1,96.9,97.6,49.6,69.9
Algeria,0.44,100,140,10.1,21.3,39.1,38.9,14.9,67.4
North Macedonia,0.15,36,8,15.7,38.3,41.6,57.6,42.7,67.5
Peru,0.38,87,68,56.9,27.7,57.4,68.5,69.9,84.7
China,0.16,39,27,7.6,24.9,75.4,83,61.3,75.9
Ecuador,0.39,90,64,79.3,38,51.9,51.9,56.6,81.8
Azerbaijan,0.32,70,25,55.8,16.8,93.9,97.5,63.1,69.7
Ukraine,0.28,60,24,23.7,12.3,94,95.2,46.7,62.8
Dominican Republic,0.45,104,92,94.3,24.3,58.6,54.4,50.9,77.6
Saint Lucia,0.33,73,48,40.5,20.7,49.2,42.1,60.2,75.3
Tunisia,0.3,63,62,7.8,31.3,42.3,54.6,24.1,69.9
Mongolia,0.32,71,44,31,17.1,91.2,86.3,53.3,66.7
Lebanon,0.36,79,15,14.5,4.7,54.3,55.6,23.5,70.9
Botswana,0.46,111,129,46.1,9.5,89.6,90.3,66.2,78.6
Saint Vincent and the Grenadines,,,45,49,13,,,57.3,79.2
Jamaica,0.41,93,89,52.8,19,69.9,62.4,60.4,73.9
Venezuela,0.46,106,95,85.3,22.2,71.7,66.6,47.7,77.1
Dominica,,,,,25,,,,
Fiji,0.36,78,30,49.4,19.6,78.3,70.2,38.1,76.1
Paraguay,0.48,117,132,70.5,16,47.3,48.3,56.9,84.1
Suriname,0.47,112,155,61.7,25.5,61.5,60.1,39.2,64.2
Jordan,0.47,113,58,25.9,15.4,82,85.9,14.1,64
Belize,0.39,91,28,68.5,11.1,78.9,78.4,53.3,81.4
Maldives,0.37,81,68,7.8,5.9,44.9,49.3,41.9,82
Tonga,0.42,96,124,14.7,7.4,94,93.4,45.3,74.1
Philippines,0.43,98,114,54.2,29.1,75.6,72.4,45.7,74.1
Moldova,0.23,50,23,22.4,22.8,95.5,97.4,38.9,45.6
Turkmenistan,,,42,24.4,24.8,,,52.8,78.2
Uzbekistan,0.3,64,36,23.8,16.4,99.9,99.9,53.4,78
Libya,0.17,41,9,5.8,16,69.4,45,25.7,79
Indonesia,0.45,103,126,47.4,19.8,44.5,53.2,52.2,82
Samoa,0.36,80,51,23.9,10,79.1,71.6,23.7,38.6
South Africa,0.42,97,138,67.9,41.8,75,78.2,48.9,62.6
Bolivia,0.45,101,206,64.9,51.8,52.8,65.1,56.6,79.4
Gabon,0.53,128,291,96.2,17.4,65.6,49.8,43.4,60.2
Egypt,0.45,102,33,53.8,14.9,59.2,71.2,22.8,73.2
Marshall Islands,,,,,9.1,91.6,92.5,,
Viet Nam,0.31,68,54,30.9,26.7,66.2,77.7,72.7,82.5
Palestine,,,45,52.8,,60,62.2,19.3,71.1
Iraq,0.54,131,50,71.7,25.2,39.5,56.5,12.4,72.6
Morocco,0.49,118,121,31,18.4,29,35.6,21.4,70.4
Kyrgyzstan,0.38,87,76,32.8,19.2,98.6,98.3,48,75.8
Guyana,0.49,118,229,74.4,31.9,70.9,55.5,41.2,73.6
El Salvador,0.4,92,54,69.5,31,39.9,46.3,46.1,78.9
Tajikistan,0.38,84,32,57.1,20,98.8,87,27.8,59.7
Cabo Verde,0.37,83,42,73.8,20.8,28.7,31.2,65.1,73.2
Guatemala,0.49,118,88,70.9,12.7,38.4,37.2,41.1,85
Nicaragua,0.46,105,150,85,45.7,48.3,46.6,50.7,83.7
India,0.5,122,174,13.2,11.7,39,63.5,23.6,78.6
Namibia,0.46,108,265,63.6,39.7,40.5,41.9,56.2,65.9
Timor-Leste,,,215,33.8,33.8,,,25,52.6
Honduras,0.48,116,129,72.9,21.1,34.2,32.6,47.2,83.7
Kiribati,,,90,16.2,6.5,,,,
Bhutan,0.44,99,148,20.2,15.3,7.6,17.5,58.2,74.5
Bangladesh,0.54,129,176,83,20.3,45.3,49.2,36,81.3
Micronesia,,,100,13.9,0,,,,
Sao Tome and Principe,0.55,136,156,94.6,14.5,31.5,45.8,43.3,76.2
Congo,0.58,145,442,112.2,14,46.7,51.3,66.9,71.6
Eswatini,0.58,145,389,76.7,12.1,31.3,33.9,41.4,65.9
Laos,0.46,110,197,65.4,27.5,35,46,76.8,79.7
Vanuatu,,,78,49.4,0,,,61.5,79.6
Ghana,0.54,133,319,66.6,12.7,55.7,71.1,63.6,71.5
Zambia,0.54,131,224,120.1,18,39.2,52.4,70.8,79.8
Equatorial Guinea,,,342,155.6,18,,,55.2,67.1
Myanmar,0.46,106,178,28.5,10.2,28.7,22.3,47.7,77.3
Cambodia,0.47,114,161,50.2,19.3,15.1,28.1,75.2,87.6
Kenya,0.55,134,510,75.1,23.3,29.8,37.3,63.6,69.1
Nepal,0.48,115,258,65.1,33.5,29,44.2,81.7,84.4
Angola,0.58,144,477,150.5,30.5,23.1,38.1,75.4,80.1
Cameroon,0.57,140,596,105.8,29.3,32.7,40.9,71.2,81.4
Zimbabwe,0.53,126,443,86.1,34.3,55.9,66.3,78.6,89
Pakistan,0.55,136,178,38.8,20,26.7,47.3,23.9,81.5
Solomon Islands,,,114,78,2,,,62.4,80.3
Syria,0.55,136,68,38.6,13.2,37.1,43.4,12,70.3
Papua New Guinea,0.74,161,215,52.7,0,9.9,15.2,46,47.6
Comoros,,,335,65.4,6.1,,,37.4,50.7
Rwanda,0.41,95,290,39.1,55.7,12.9,17.9,84.2,83.6
Nigeria,,,814,107.3,5.8,,,50.6,59.8
Tanzania,0.54,130,398,118.4,37.2,11.9,16.9,79.4,87.2
Uganda,0.53,127,343,118.8,34.3,27.4,34.7,67.2,75
Mauritania,0.62,150,602,71,20.3,12.7,24.9,29.2,63.2
Madagascar,,,353,109.6,19.6,,,83.6,89.3
Benin,0.61,148,405,86.1,7.2,18.2,33.6,69.2,73.3
Lesotho,0.55,135,487,92.7,22.7,32.8,25.1,59.8,74.9
Côte d'Ivoire,0.66,157,645,117.6,9.2,17.8,34.1,48.3,66
Senegal,0.52,125,315,72.7,41.8,11.1,21.4,35.2,58.6
Togo,0.57,140,368,89.1,17.6,27.6,54,76.1,79.3
Sudan,0.56,139,311,64,31,15.3,19.6,24.5,70.3
Haiti,0.62,150,359,51.7,2.7,26.9,39.9,63.3,72.8
