country_of_asylum,Country of asylum (ISO),refugees,asylum_seekers,all_others_of_concern
Afghanistan,AFG,72227,247,3000483
Albania,ALB,120,5,3840
Algeria,DZA,98599,1649,0
Angola,AGO,25793,30177,61
Egypt,EGY,258391,66316,5
Argentina,ARG,3857,7990,173786
Armenia,ARM,17980,158,961
Australia,AUS,76768,77361,0
Austria,AUT,135951,26693,1132
Azerbaijan,AZE,1109,178,655911
Bahrain,BHR,251,58,0
Barbados,BRB,0,10,0
Burundi,BDI,78465,8995,36134
Belgium,BEL,61662,10858,10933
Benin,BEN,1238,373,0
Bangladesh,BGD,854779,34,854704
Bahamas,BHS,10,15,0
Burkina Faso,BFA,25869,29,560033
Belarus,BLR,2725,133,6466
Bolivia (Plurinational State of),BOL,863,240,5472
Botswana,BWA,1113,150,6
Brazil,BRA,32844,207276,123514
Brunei Darussalam,BRN,0,0,20863
Bosnia and Herzegovina,BIH,5241,723,150224
Bulgaria,BGR,20438,1045,116
Belize,BLZ,29,2144,3390
Cambodia,KHM,0,27,57444
Canada,CAN,101757,96986,3790
Central African Rep.,CAF,7170,311,669906
Cayman Islands,CYM,34,15,52
Chad,TCD,442670,3758,292637
China,CHN,303379,640,0
Chile,CHL,2046,8515,454785
Cameroon,CMR,406259,9927,950283
Congo,COG,25668,14419,146200
Dem. Rep. of the Congo,COD,523733,3192,5014253
Colombia,COL,634,9093,10147660
Costa Rica,CRI,6204,87153,21128
Cuba,CUB,233,31,0
Cabo Verde,CPV,0,0,115
Cyprus,CYP,12311,18806,4000
Czechia,CZE,2054,1631,1807
Denmark,DNK,37533,1416,8672
Djibouti,DJI,19639,11153,0
Dominican Rep.,DOM,164,562,33816
Ecuador,ECU,104560,25004,374045
Eritrea,ERI,199,0,17
Estonia,EST,331,33,75599
Ethiopia,ETH,733123,1676,1734020
Fiji,FJI,12,10,0
Finland,FIN,23458,8297,2801
France,FRA,407915,102133,1521
Gabon,GAB,454,75,0
Gambia,GMB,4302,204,0
United Kingdom of Great Britain and Northern Ireland,GBR,133083,61943,161
Georgia,GEO,1355,1106,287368
Germany,DEU,1146682,309230,14947
Ghana,GHA,11946,1507,0
Guinea-Bissau,GNB,1846,30,0
Greece,GRC,80454,105690,4734
Guatemala,GTM,408,633,110600
Guinea,GIN,4964,1977,0
Guyana,GUY,14,57,22000
Haiti,HTI,0,5,0
"China, Hong Kong SAR",HKG,128,0,0
Honduras,HND,75,109,253090
Croatia,HRV,916,450,6913
Hungary,HUN,5750,217,76
Iceland,ISL,894,366,48
Cote d'Ivoire,CIV,2020,149,955464
India,IND,195103,12197,17730
Indonesia,IDN,10287,3341,582
Ireland,IRL,7795,7865,99
Iran (Islamic Rep. of),IRN,979435,33,0
Iraq,IRQ,273986,12937,1461895
Israel,ISR,16107,38461,42
Italy,ITA,207602,47031,15822
Jamaica,JAM,0,5,121
Jordan,JOR,693668,51284,2117
Japan,JPN,1463,29123,687
Kazakhstan,KAZ,518,210,8386
Kenya,KEN,438899,50826,18500
Kyrgyzstan,KGZ,347,165,58
Rep. of Korea,KOR,3196,25564,197
Kuwait,KWT,686,1078,92020
Liberia,LBR,8225,10,0
Libya,LBY,4730,40718,355672
Lebanon,LBN,916141,12091,7875
Lesotho,LSO,143,78,0
Liechtenstein,LIE,125,30,0
Sri Lanka,LKA,1041,361,25110
Lithuania,LTU,1822,409,2904
Luxembourg,LUX,2548,1785,83
Latvia,LVA,665,40,216851
Madagascar,MDG,113,130,0
Mauritania,MRT,84901,1533,0
North Macedonia,MKD,354,77,567
Monaco,MCO,22,0,0
Rep. of Moldova,MDA,417,90,3500
Mexico,MEX,28517,69451,193705
Mali,MLI,26672,1001,207751
Malaysia,MYS,129107,50617,163332
Malawi,MWI,14087,30290,239
Mongolia,MNG,0,5,27
Morocco,MAR,6642,3073,0
Mozambique,MOZ,4713,20975,180516
Malta,MLT,8908,3676,0
Montenegro,MNE,653,484,12417
Mauritius,MUS,20,5,0
Myanmar,MMR,0,0,912018
Namibia,NAM,3182,1905,7
Nepal,NPL,19570,56,534
Netherlands,NLD,94417,15601,1951
Niger,NER,179997,37893,223974
Nicaragua,NIC,322,126,510
Nigeria,NGA,54157,1029,2195779
Norway,NOR,53882,1498,2272
Nauru,NRU,755,415,0
New Zealand,NZL,2724,553,0
Oman,OMN,308,254,0
Pakistan,PAK,1419596,8526,100680
Panama,PAN,2536,17671,115768
Paraguay,PRY,1014,681,3588
Peru,PER,2850,487056,377864
Philippines,PHL,680,316,309014
Papua New Guinea,PNG,9698,132,0
Poland,POL,12658,4778,1328
Portugal,PRT,2375,1055,14
Qatar,QAT,202,101,1200
Romania,ROU,3860,915,192
South Africa,ZAF,89285,188296,0
Russian Federation,RUS,42413,1446,68209
Rwanda,RWA,145054,492,5323
El Salvador,SLV,48,30,78300
Saudi Arabia,SAU,315,2327,70000
Serbia and Kosovo: S/RES/1244 (1999),SRB,26427,260,222480
Senegal,SEN,14467,1792,0
Singapore,SGP,0,0,1303
Sierra Leone,SLE,441,0,0
Somalia,SOM,17882,17789,2648152
Spain,ESP,57751,133030,4246
Viet Nam,VNM,0,0,30581
Saint Kitts and Nevis,KNA,5,0,0
Sudan,SDN,1055489,15541,1889473
Suriname,SUR,44,1426,0
South Sudan,SSD,298309,3675,1675815
Slovakia,SVK,965,5,1523
Slovenia,SVN,741,307,5
Eswatini,SWZ,940,963,0
Sweden,SWE,253787,27999,30305
Switzerland,CHE,110162,11204,0
Syrian Arab Rep.,SYR,16213,12058,6337965
United Rep. of Tanzania,TZA,242171,29555,23861
Turks and Caicos Islands,TCA,5,0,0
Thailand,THA,97556,841,475128
Tajikistan,TJK,3788,1413,7151
Turkmenistan,TKM,21,0,3688
Togo,TGO,11964,694,0
Trinidad and Tobago,TTO,2308,17361,7864
Tunisia,TUN,1732,1516,17
Turkey,TUR,3579531,328257,0
United Arab Emirates,ARE,1242,7261,130
Uganda,UGA,1359458,21660,2304506
Ukraine,UKR,2166,2383,2449642
Uruguay,URY,498,13742,14362
United States of America,USA,341715,847610,0
Uzbekistan,UZB,13,0,97346
Saint Vincent and the Grenadines,VCT,,,38
Venezuela (Bolivarian Republic of),VEN,67749,49,494503
Yemen,YEM,268503,10671,3625731
Zambia,ZMB,57518,5064,23275
Zimbabwe,ZWE,8956,11532,270957
Anguilla,AIA,,,11
Aruba,ABW,0,408,16602
Curacao ,CUW,42,345,16190
Sint Maarten (Dutch part),SXM,5,5,0
