state,1640,1650,1660,1670,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770
Virginia,10442,18731,27020,35309,43596,53046,58560,78281,57757,114000,180440,231033,339726,447016
Massachusetts,8932,14037,20082,30000,39752,49504,55941,24450,30962,51707,85637,119666,183703,240057
Maryland,583,4504,8426,13226,17904,24024,29604,62390,91008,114116,151613,188000,202600,235308
Georgia,,,,,,,,42741,66133,91113,116093,141073,162267,202599
Connecticut,1472,4139,7980,12603,17246,21645,25970,15120,21270,30000,51760,72984,110442,197200
New York,1930,4116,4936,5754,9830,13909,19107,39450,58830,75530,89580,111280,142470,183881
Pennsylvania,,,,,680,11450,17950,21625,36919,48594,63665,76696,117138,162920
New Jersey,,,,1000,3400,8000,14010,10883,17048,30000,45000,64000,94074,124244
North Carolina,,,1000,3850,5430,7600,10720,19872,29818,37510,51373,71393,93813,117431
Rhode Island,300,785,1539,2155,3017,4224,5894,5681,9375,10755,23256,27505,39093,62396
South Carolina,,,,200,1200,3900,5704,7573,11680,16950,25255,33226,45471,58196
New Hampshire,1055,1305,1555,1805,2047,4164,4958,3645,5385,9170,19870,28704,33250,35496
Delaware,,185,540,700,1005,1482,2470,,,,2021,5200,9578,23375
