state, senate_seat_2020,incumbent_party_2020
Alabama,1,Democratic
Alaska,1,Republican
Arkansas,1,Republican
Colorado,1,Republican
Delaware,1,Democratic
Georgia,1,Republican
Idaho,1,Republican
Illinois,1,Democratic
Iowa,1,Republican
Kansas,1,Republican
Kentucky,1,Republican
Louisiana,1,Republican
Maine,1,Republican
Massachusetts,1,Democratic
Michigan,1,Democratic
Minnesota,1,Democratic
Mississippi,1,Republican
Montana,1,Republican
Nebraska,1,Republican
New Hampshire,1,Democratic
New Jersey,1,Democratic
New Mexico,1,Democratic
North Carolina,1,Republican
Oklahoma,1,Republican
Oregon,1,Democratic
Rhode Island,1,Democratic
South Carolina,1,Republican
South Dakota,1,Republican
Tennessee,1,Republican
Texas,1,Republican
Virginia,1,Democratic
West Virginia,1,Republican
Wyoming,1,Republican
