CR_Title,CR_Author_Name,CR_Provider,CR_Create_Date,CR_Provider_St,CR_Language,CR_URL,CR_Media_Formats,CR_Material_Type,CR_Subject,CR_Keywords,CR_COU_TITLE,CR_COU_URL,CR_Abstract,CR_Educational_Use,CR_Primary_User,CR_Sublevel,CR_WORKFLOW_STATE
01 - Beyond religion: Scarlet Letter - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=f55af70abb084c1b8edef6935ad238b5,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geo-inquiries|geo-inquiry|geoenquiries|Scarlet Letter|American Lit|American Literature|Literature|schools|school|K-12|K12,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the patterns of religion in the U.S. and world beyond the Puritan foundations found in The Scarlet Letter.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
02 - Virus of fear: Witchcraft in Salem - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=36224429c29b413288e9698317910de7,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,The Crucible|GeoInquiry|GeoInquiries|geoinquiry|geoinquiries|geoenquiry|geoenquiries|geo-inquiry|geo-inquiries|school|schools|K-12|K12|Literature|American Literature|Wilder|Thornton Wilder|play|ELA|English,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the geographic context and spatial extent of the witch trials in the American colonies. Play: The Crucible by Arthur Mille,Curriculum/Instruction,Teachers|Students,Middle School|High School,
03 - Poe & the Red Death - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=207936cdd8044af88017a8777588b52e,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geoinquiries|geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiry|AmLit|Poe|TP|tuberculosis|TD|Red death|American Lit|American Literature|school|schools|K-12|K12|Literature|ELA|English,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Discover the impact of tuberculosis on 1800's America and modern society.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
04 - The Red Badge of Courage - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=18bc017155824095b66eef41c98388aa,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,Red Badge|Red Badge of Courage|geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiries|geoinquiry,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Learn about the Battle of Chancellorsville and how it is connected to Stephen Crane’s novel.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
05 - Twain travel blogger - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=7bfb0e4e28784f5a8977b2566c2131e4,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,GeoInquiries,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Discover how travel and life experiences influenced Mark Twain’s body of work. “Travel is fatal to prejudice.” – Mark Twain,Curriculum/Instruction,Teachers|Students,Middle School|High School,
06 - Hurricane warning! - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=79a90c428f844822b89b7f8c5944de30,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,American|American Literature|literature|hurricane|geoinquiry|geoinquiries|geoenquiry|geoenquiries|geo-inquiry|geo-inquiries|school|schools|K-12|K12|Literature|Wilder|Thornton Wilder|play|ELA|English|Zora Neale Hurston|Erik Larson|Isaac’s Storm|Their Eyes Were Watching God,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the geographic context of Isaac’s Storm by Erik Larson and Their Eyes Were Watching God by Zora Neale Hurston.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
07 - Our town your town - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=9395720a499b4a6bad3ab4ac2f304ffe,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geoinquiry|geoinquiries|geoenquiry|geoenquiries|geo-inquiry|geo-inquiries|school|schools|K-12|K12|Literature|American Literature|Wilder|Thornton Wilder|play|ELA|English,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the essential services in a small American town in the early 1900s and compare the ser vices that are offered in a community today. Pair with Our Town by Thornton Wilder.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
08 - Gatsby: Then and now - Esri GeoInquiries collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=10a5a20967d0499ca55bc91b1ccc7ba1,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiries|geoinquiry|AmLit|literature|schools|school|K-12|K12,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Among the ash heaps and millionaires explore the geographic and demographic context of The Great Gatsby by F. Scott Fitzgerald.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
09 - The mockingbird sings for freedom - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=f1045ee599c1415cb0c72d77d4b2af93,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geoinquiries|geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiry|schools|school|K-12|K12|Literature|American Lit|Harper Lee|Harper,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the demographic and social context of To Kill a Mockingbird by Harper Lee.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
10 - Depression dust & Steinbeck - Esri GeoInquiries™ collection for American Literature,Esri,Esri,11/23/21, American Literature,en,https://arcgis.com/home/item.html?id=9cdeb8abeeb64819b016ba18f2b00852,Downloadable docs|Interactive,Lesson|Activity/Lab|Interactive,American Literature,geo|geo-inquiries|geo-inquiry|geoenquiries|geoenquiry|geoinquiries|geoinquiry|Steibeck|Mice and Men|Dust bowl|literature|American|American Lit|American Literature|AmLit|school|schools|K-12|K12,Creative Commons Attribution Non-Commercial Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explore the economic environmental and cultural influences in Steinbeck’s work.,Curriculum/Instruction,Teachers|Students,Middle School|High School,
